No.	Category	Information Item	Details / Specific Requirements	Related Inquiry Cases	Format	Required/Optional	Notes
1	Property Basics	Property Name (official & common)	Official name, OTA listing name, common name (for guest guidance)	All cases	Text	Required	Must match PMS registered name
2	Property Basics	Address (Japanese & English)	Full street address (Japanese + romanized). Building name, unit number. Accurate Google Maps pin (URL)	#6 Can't find property / #33 Transport / #60 Package	Text+URL	Required	Pre-verify Google Maps pin is correct
3	Property Basics	Property Type	Hotel / Minpaku (home-sharing) / Ryokan / Monthly / Lease. Registration/license number	Needed for ID verification procedure	Select	Required	Affects Japanese Inn Act ID verification obligation
4	Property Basics	Floor Plan & Size	Layout (1R/1LDK/2LDK etc.), size (sqm), room usage	#40 Equipment inquiry / #51 Photos don't match	Text	Required	Cross-check with listing
5	Property Basics	Max Capacity	Maximum guests, bed/futon breakdown (double×1, single×2 etc.). Extra bedding availability & location	#36 Headcount change / #40 Equipment inquiry	Numeric	Required	Also verify fire code capacity limits
6	Property Basics	Floor & Elevator	Which floor the property is on, elevator availability, elevator usage (card key required etc.)	#6 Access / #33 Transport	Text	Required	Needed for elderly/wheelchair accessibility info
7	Property Basics	Property Photos (current)	Latest photos of each room & facility. Not listing photos but as-is condition (exterior, entrance, rooms, kitchen, bath, toilet, beds, trash area, parking, key box etc.)	#51 Photos don't match / general troubleshooting	Photo	Required	Used for manual creation & AI training
8	Access / Key Info	Entry Procedure (detailed steps)	1) Building entrance method 2) Elevator/stairs 3) Room door unlock method. Photos for each step. Auto-lock status	#1 CI code not received / #2 Code not working / #3 Key location	Text+Photo	Required	Step-by-step. Video is even better
9	Access / Key Info	Smart Lock Info	Manufacturer & model, admin login (RemoteLock etc.), code issuance rules (when activated/deactivated), battery replacement timing, emergency physical key availability	#1 CI code / #2 Code not working / #21 Locked out	Text	Required	Needed for RemoteLock API integration setup
10	Access / Key Info	Key Box Info	Installation location (with photos), PIN, PIN change frequency/rules	#3 Can't find key	Text+Photo	Required	Photos should include path from exterior to key box
11	Access / Key Info	Spare Key Storage	Spare key location (mgmt co./on-site co./in property), number of keys	#21 Lost key	Text	Required	Essential for faster lockout response
12	Access / Key Info	Parking Info	Parking availability, location (with photos), car limit, height restrictions, rules (reservation/first-come). If no parking → nearest coin parking info	#7 Parking location	Text+Photo	Required	Height restrictions important (some vans won't fit)
13	Access / Key Info	Route from Nearest Station	Station name, exit number, walk time, landmark directions. If bus → bus line & stop name. Airport route	#6 Directions / #33 Transport	Text+Map	Required	Include landmarks visible at night
